txn_id,accm_txn_complete_time
211111198,2021-11-12 00:00:00
200616094,2020-06-19 07:00:00
210605392,2021-06-07 04:00:00
230119520,2023-01-20 21:00:00
232111853,2023-12-16 02:00:00
221813108,2022-12-18 13:00:00
200808223,2020-08-09 00:00:00
222019121,2022-12-20 06:00:00
220218413,2022-02-20 16:00:00
210315726,2021-03-20 00:00:00
202016524,2020-12-21 06:00:00
201419296,2020-12-24 13:00:00
221519061,2022-12-21 14:00:00
200217524,2020-02-22 08:00:00
220312012,2022-03-13 05:00:00
200120378,2020-01-24 10:00:00
221106436,2022-11-09 04:00:00
230611836,2023-06-13 10:00:00
231319162,2023-12-20 02:00:00
201418391,2020-12-22 03:00:00
202016161,2020-12-19 11:00:00
210710010,2021-07-15 08:00:00
220314533,2022-03-15 23:00:00
242107211,2024-12-11 17:00:00
230512540,2023-05-13 12:00:00
230905531,2023-09-06 17:00:00
220219982,2022-02-22 20:00:00
231216933,2023-12-21 11:00:00
240610035,2024-06-15 06:00:00
211410615,2021-12-11 01:00:00
201104881,2020-11-06 09:00:00
240410864,2024-04-11 07:00:00
220122352,2022-01-23 12:00:00
211005262,2021-10-08 14:00:00
201217543,2020-12-20 05:00:00
240406964,2024-04-09 11:00:00
221606984,2022-12-08 21:00:00
232115260,2023-12-18 22:00:00
230812278,2023-08-13 19:00:00
210616586,2021-06-18 17:00:00
230320497,2023-03-22 05:00:00
230321670,2023-03-25 12:00:00
202006522,2020-12-09 20:00:00
240312619,2024-03-17 07:00:00
211319146,2021-12-22 01:00:00
211512828,2021-12-14 01:00:00
221811734,2022-12-14 12:00:00
211817720,2021-12-20 02:00:00
210910056,2021-09-12 18:00:00
230307401,2023-03-10 06:00:00
220206020,2022-02-10 12:00:00
200812204,2020-08-16 04:00:00
231413946,2023-12-16 04:00:00
201321899,2020-12-23 23:00:00
240604024,2024-06-09 17:00:00
202106640,2020-12-09 23:00:00
231605921,2023-12-10 13:00:00
210707876,2021-07-12 12:00:00
241305052,2024-12-08 07:00:00
221014057,2022-10-16 16:00:00
231305072,2023-12-09 02:00:00
240807536,2024-08-08 03:00:00
230117871,2023-01-19 20:00:00
230311339,2023-03-13 21:00:00
230908274,2023-09-12 19:00:00
201512249,2020-12-13 12:00:00
202108808,2020-12-12 19:00:00
231305864,2023-12-09 16:00:00
220915787,2022-09-18 17:00:00
221404934,2022-12-05 21:00:00
211508870,2021-12-09 21:00:00
240511362,2024-05-16 08:00:00
200617243,2020-06-20 03:00:00
201605189,2020-12-08 13:00:00
230912333,2023-09-14 14:00:00
210508368,2021-05-09 23:00:00
201709722,2020-12-12 16:00:00
240407499,2024-04-09 16:00:00
241415418,2024-12-16 20:00:00
240908615,2024-09-11 20:00:00
210404064,2021-04-09 19:00:00
202010013,2020-12-12 04:00:00
230612192,2023-06-15 05:00:00
201713893,2020-12-18 16:00:00
210800662,2020-01-02 19:00:00
221713518,2022-12-16 15:00:00
221509155,2022-12-10 03:00:00
211405452,2021-12-08 09:00:00
210306373,2021-03-08 01:00:00
230710950,2023-07-12 18:00:00
211007220,2021-10-08 02:00:00
230617956,2023-06-21 02:00:00
241907664,2024-12-12 04:00:00
221205063,2022-12-07 21:00:00
221710503,2022-12-14 17:00:00
221608639,2022-12-10 08:00:00
200908548,2020-09-13 19:00:00
231110034,2023-11-14 06:00:00
210312912,2021-03-17 23:00:00
201321578,2020-12-23 22:00:00
200108026,2020-01-11 12:00:00
230206105,2023-02-09 14:00:00
240613858,2024-06-18 14:00:00
211614608,2021-12-15 07:00:00
220706376,2022-07-08 02:00:00
221107330,2022-11-10 00:00:00
231514013,2023-12-19 17:00:00
210105864,2021-01-07 18:00:00
231500998,2020-01-03 00:00:00
200105014,2020-01-06 22:00:00
220314542,2022-03-15 07:00:00
201310372,2020-12-11 01:00:00
221009767,2022-10-12 02:00:00
231606570,2023-12-11 07:00:00
202113173,2020-12-16 21:00:00
200809626,2020-08-13 06:00:00
240405425,2024-04-10 04:00:00
211409971,2021-12-14 18:00:00
240316229,2024-03-20 07:00:00
231818373,2023-12-22 13:00:00
221512169,2022-12-14 03:00:00
241413778,2024-12-14 21:00:00
230110045,2023-01-14 11:00:00
220708238,2022-07-12 13:00:00
220221568,2022-02-25 23:00:00
211006943,2021-10-07 21:00:00
231320680,2023-12-21 01:00:00
201112937,2020-11-16 23:00:00
220912264,2022-09-15 03:00:00
230914685,2023-09-16 06:00:00
240705814,2024-07-07 17:00:00
210404420,2021-04-08 04:00:00
241611392,2024-12-15 05:00:00
240705040,2024-07-08 14:00:00
210208424,2021-02-10 02:00:00
230219478,2023-02-23 17:00:00
200306294,2020-03-07 01:00:00
210911655,2021-09-16 00:00:00
211910754,2021-12-11 07:00:00
201307274,2020-12-09 13:00:00
220908864,2022-09-12 15:00:00
210414327,2021-04-16 12:00:00
230313795,2023-03-14 05:00:00
242008107,2024-12-12 00:00:00
201508428,2020-12-12 08:00:00
220807808,2022-08-11 09:00:00
220611225,2022-06-15 22:00:00
201012730,2020-10-17 21:00:00
231210462,2023-12-14 04:00:00
231810008,2023-12-12 09:00:00
222005071,2022-12-07 01:00:00
241509662,2024-12-14 23:00:00
221217418,2022-12-22 01:00:00
231701242,2023-12-04 01:00:00
221908208,2022-12-09 18:00:00
241605479,2024-12-09 16:00:00
241106938,2024-11-11 05:00:00
230810783,2023-08-11 16:00:00
221305877,2022-12-06 05:00:00
211013397,2021-10-14 19:00:00
240809687,2024-08-10 21:00:00
221917360,2022-12-19 12:00:00
221117049,2022-11-18 18:00:00
232007100,2023-12-09 18:00:00
231504618,2023-12-09 01:00:00
210516919,2021-05-21 02:00:00
201309929,2020-12-13 21:00:00
240300551,2020-01-06 18:00:00
231420894,2023-12-25 10:00:00
221805518,2022-12-08 06:00:00
212000900,2020-01-04 07:00:00
210906001,2021-09-09 12:00:00
230222030,2023-02-24 21:00:00
210618898,2021-06-21 14:00:00
221506403,2022-12-09 02:00:00
231719298,2023-12-20 14:00:00
210309702,2021-03-14 18:00:00
210319598,2021-03-20 02:00:00
231406485,2023-12-11 06:00:00
241505455,2024-12-10 08:00:00
221811894,2022-12-13 11:00:00
211306385,2021-12-07 07:00:00
220715925,2022-07-18 09:00:00
200816027,2020-08-18 14:00:00
220416772,2022-04-21 22:00:00
231417658,2023-12-20 19:00:00
221404936,2022-12-09 00:00:00
210407001,2021-04-12 09:00:00
210708472,2021-07-09 04:00:00
230219197,2023-02-22 03:00:00
200709839,2020-07-10 23:00:00
241414907,2024-12-19 04:00:00
210315092,2021-03-18 09:00:00
230618773,2023-06-23 06:00:00
221513975,2022-12-16 06:00:00
220714287,2022-07-17 16:00:00
231418915,2023-12-22 08:00:00
241510410,2024-12-11 02:00:00
201004775,2020-10-08 08:00:00
230810633,2023-08-11 00:00:00
241407333,2024-12-10 04:00:00
211216981,2021-12-19 05:00:00
200712256,2020-07-16 17:00:00
231016999,2023-10-20 17:00:00
240100534,2020-01-02 03:00:00
230307544,2023-03-08 22:00:00
220509229,2022-05-11 17:00:00
212114264,2021-12-15 11:00:00
221517169,2022-12-22 17:00:00
210700863,2020-01-03 13:00:00
231016936,2023-10-18 01:00:00
201712075,2020-12-15 11:00:00
212006015,2021-12-07 11:00:00
210715695,2021-07-17 21:00:00
231222675,2023-12-24 21:00:00
212107514,2021-12-08 11:00:00
230813187,2023-08-18 13:00:00
221408161,2022-12-13 23:00:00
241705268,2024-12-07 07:00:00
231512336,2023-12-14 05:00:00
200614702,2020-06-18 00:00:00
201909660,2020-12-11 23:00:00
232009159,2023-12-12 13:00:00
201906110,2020-12-08 08:00:00
221311733,2022-12-13 22:00:00
240905220,2024-09-06 12:00:00
211314717,2021-12-15 15:00:00
201514528,2020-12-16 06:00:00
211422343,2021-12-26 11:00:00
211414678,2021-12-17 07:00:00
201810377,2020-12-12 00:00:00
220907507,2022-09-09 12:00:00
242009440,2024-12-12 08:00:00
241007129,2024-10-08 08:00:00
212010313,2021-12-13 20:00:00
202005085,2020-12-10 12:00:00
230116395,2023-01-21 10:00:00
210205860,2021-02-06 03:00:00
220210682,2022-02-13 05:00:00
200105397,2020-01-10 08:00:00
211805685,2021-12-06 03:00:00
230716665,2023-07-21 13:00:00
241004574,2024-10-07 23:00:00
241104675,2024-11-07 13:00:00
200411895,2020-04-16 16:00:00
232000663,2020-01-02 12:00:00
201819409,2020-12-24 06:00:00
231713421,2023-12-16 01:00:00
231820101,2023-12-24 00:00:00
231016868,2023-10-21 17:00:00
220804023,2022-08-06 11:00:00
230127239,2023-01-31 02:00:00
221518753,2022-12-21 19:00:00
221317348,2022-12-20 21:00:00
231407801,2023-12-08 23:00:00
210609305,2021-06-12 16:00:00
221814955,2022-12-17 21:00:00
230304373,2023-03-08 10:00:00
200122052,2020-01-26 22:00:00
230116594,2023-01-19 17:00:00
230220452,2023-02-22 06:00:00
211206095,2021-12-10 21:00:00
240118640,2024-01-22 21:00:00
242108495,2024-12-10 19:00:00
210208337,2021-02-13 09:00:00
201917865,2020-12-21 17:00:00
201815077,2020-12-16 09:00:00
241412407,2024-12-15 06:00:00
231907059,2023-12-11 18:00:00
231406758,2023-12-11 20:00:00
220123952,2022-01-26 14:00:00
232107120,2023-12-11 14:00:00
221300983,2020-01-03 16:00:00
231412480,2023-12-16 23:00:00
240308247,2024-03-10 21:00:00
210111416,2021-01-12 09:00:00
210213747,2021-02-18 21:00:00
221211115,2022-12-16 10:00:00
210215854,2021-02-16 07:00:00
231109295,2023-11-12 07:00:00
241409842,2024-12-11 04:00:00
241806003,2024-12-07 01:00:00
201517502,2020-12-19 15:00:00
231713112,2023-12-18 02:00:00
230109102,2023-01-13 13:00:00
210108763,2021-01-13 06:00:00
240606175,2024-06-10 15:00:00
221518077,2022-12-22 07:00:00
211319155,2021-12-21 20:00:00
240812447,2024-08-13 03:00:00
230811654,2023-08-15 07:00:00
241509442,2024-12-11 22:00:00
222018923,2022-12-23 14:00:00
201911499,2020-12-12 17:00:00
210313648,2021-03-15 03:00:00
230713620,2023-07-17 04:00:00
201508733,2020-12-12 21:00:00
211110854,2021-11-15 17:00:00
200714946,2020-07-19 10:00:00
202111104,2020-12-15 19:00:00
211407409,2021-12-12 13:00:00
240304872,2024-03-09 14:00:00
210711127,2021-07-13 23:00:00
241906599,2024-12-10 14:00:00
241414022,2024-12-17 07:00:00
222105023,2022-12-08 16:00:00
